HHID,HH size,Socialgroup,Religion,HHclassification,Land owned (hectares),Land possessed (hectares),Total monthly consumption expenditure (INR),Monthly income from non farm activity (INR),Monthly income from wage employment (INR),Monthly income from farming of animals (INR),Monthly income from crop production (INR),Total Monthly Income (INR),Frequency weight
72500201,4,9,4,7,0.126,0.126,13000,0,10000,6733.333,6393.75,23127.08,1664
72500202,5,3,1,7,0.012,0.012,9500,0,6666.667,3966.667,0,10633.33,1664
72500301,5,9,1,6,0.429,0.429,22000,0,40833.33,0,7941.667,48775,1152
72500302,8,9,4,1,0.842,0.842,18750,0,0,10966.67,6522.5,17489.17,1152
72500401,8,9,4,1,13.649,13.649,28400,0,0,-300,138274.3,137974.3,448
72500402,7,9,4,1,1.255,1.255,28000,0,0,6133.333,7879.167,14012.5,448
72500501,9,9,4,1,13.871,13.871,36000,0,0,4066.667,138930.8,142997.5,1984
72500502,9,9,4,1,8.141,8.141,40000,0,0,3816.667,86483.34,90300,1984
72501201,4,9,4,7,0.024,0.024,12000,0,4166.667,4733.333,-7.5,8892.5,516
72501202,5,2,4,4,0.113,0.113,16000,0,0,2433.333,591.6667,3025,516
72501301,5,2,4,1,0.64,0.64,13800,0,0,5066.667,7908.667,12975.33,123
72501302,5,3,4,1,0.689,0.689,13000,0,0,5083.333,6431.833,11515.17,123
72501401,9,9,1,1,1.62,1.62,25000,0,0,7500,15306.67,22806.67,53
72501402,7,3,4,1,1.559,1.559,25000,0,2000,1583.333,8874.583,12457.92,53
72501501,3,9,4,4,0.174,0.174,13400,0,27500,4466.667,408.1667,32374.83,105
72501502,6,9,4,1,2.632,2.632,18000,0,0,5466.667,34366.5,39833.17,105
72502201,5,9,4,1,0.227,0.227,12833,0,0,6100,562.5,6662.5,4598
72502202,5,2,4,8,0.024,0.024,10000,0,2500,6416.667,0,8916.666,4598
72502301,4,9,4,3,0.429,0.429,16500,0,0,17800,3922.5,21722.5,5808
72502302,8,9,4,1,0.83,0.83,23400,0,5333.333,4080,10552.5,19965.83,5808
72502401,4,9,4,1,1.247,1.247,16500,0,0,9000,14458.33,23458.33,1694
72502402,3,2,4,1,0,1.624,8333,0,0,0,17560.83,17560.83,1694
72502501,7,9,4,1,2.057,4.082,22000,0,0,8733.333,57737.5,66470.84,3388
72502502,8,9,4,1,2.057,3.677,15667,0,0,6660,48235.42,54895.42,3388
72503201,14,2,4,5,0.032,0.032,29000,0,54416.67,1133.333,0,55550,6216
72503202,5,9,4,6,0.041,0.041,26467,0,90000,2016.667,0,92016.66,6216
72503301,4,3,4,1,0.846,0.846,11900,0,0,3050,13633.75,16683.75,2005
72503302,7,3,4,6,0.64,0.64,21500,0,33333.33,6500,10799.25,50632.58,2005
72503401,9,9,4,4,1.243,1.243,20667,6666.667,0,0,15371.17,22037.83,1203
72503402,5,9,4,1,1.045,1.045,20000,0,0,0,11983.75,11983.75,1203
72503501,3,9,4,1,2.061,2.061,14667,0,45000,0,36071.92,81071.92,2607
72503502,8,9,4,1,1.895,8.375,32167,0,0,14466.67,52951.67,67418.34,2607
72504201,5,2,4,7,0.012,0.012,7350,0,7750,3900,0,11650,4494
72504202,5,2,4,7,0.012,0.012,7675,0,7416.667,970,0,8386.666,4494
72504302,6,9,4,1,1.268,1.268,12000,0,0,10000,11479.58,21479.58,1672
72504402,3,9,4,1,1.268,1.268,12000,0,0,2266.667,9748.333,12015,1881
72504501,4,9,4,1,0.441,0.441,16000,0,0,4200,5450.667,9650.666,3658
72504502,5,9,4,1,5.747,5.747,17000,0,0,7166.667,49922,57088.67,3658
72505201,4,2,4,7,0.024,0.024,10500,0,18875,3600,0,22475,58
