Acronym,Name,Price,Change,PerChange,Volume,AvgVol,MarketCap,PE Ratio
GPCR,Structure Therapeutics Inc.,56.67,-13.72,-19.49%,1.806M,"825,887",2.58B,N/A
DNLI,Denali Therapeutics Inc.,17.11,-3.07,-15.21%,1.742M,"763,987",2.365B,N/A
VEEV,Veeva Systems Inc.,166.60,-27.53,-14.18%,4.555M,"922,212",26.765B,50.18
PDYPY,Flutter Entertainment plc,74.32,-10.51,-12.39%,"38,872","17,752",29.789B,N/A
NTLA,"Intellia Therapeutics, Inc.",24.96,-3.49,-12.27%,2.939M,"995,784",2.209B,N/A
FOLD,"Amicus Therapeutics, Inc.",9.98,-1.38,-12.19%,4.025M,2.237M,2.925B,N/A
NEP,"NextEra Energy Partners, LP",23.99,-3.07,-11.35%,5.658M,2.64M,2.241B,18.04
SHLS,"Shoals Technologies Group, Inc.",12.95,-1.65,-11.30%,7.509M,3.114M,2.202B,15.06
VFS,VinFast Auto Ltd.,6.49,-0.76,-10.48%,4.822M,5.288M,15.136B,N/A
CVNA,Carvana Co.,30.44,-3.55,-10.44%,8.146M,8.615M,5.406B,N/A
CART,Instacart (Maplebear Inc.),24.48,-2.76,-10.13%,5.319M,3.583M,6.772B,38.86
BILL,"BILL Holdings, Inc.",56.02,-6.17,-9.92%,19.955M,2.329M,5.98B,N/A
RIVN,"Rivian Automotive, Inc.",15.33,-1.67,-9.82%,66.215M,35.148M,14.682B,N/A
AU,AngloGold Ashanti plc,16.64,-1.75,-9.52%,4.287M,2.56M,6.984B,166.40
KVYO,"Klaviyo, Inc.",24.93,-2.61,-9.48%,1.241M,"997,745",6.449B,N/A
BDX,"Becton, Dickinson and Company",232.24,-23.68,-9.25%,5.001M,1.054M,67.375B,42.00
JAZZ,Jazz Pharmaceuticals plc,116.52,-11.72,-9.14%,1.692M,"587,303",7.336B,140.39
G,Genpact Limited,31.60,-3.15,-9.06%,5.29M,1.069M,5.733B,13.68
DIOD,Diodes Incorporated,60.74,-6.02,-9.02%,"982,394","307,184",2.79B,9.57
UWMC,UWM Holdings Corporation,5.30,-0.50,-8.62%,2.632M,1.015M,16.418B,35.33
CTVA,"Corteva, Inc.",44.51,-4.11,-8.45%,7.04M,3.9M,31.374B,28.35
WOLF,"Wolfspeed, Inc.",31.55,-2.87,-8.34%,2.649M,3.503M,3.954B,N/A
ARRY,"Array Technologies, Inc.",13.77,-1.24,-8.26%,9.823M,4.933M,2.082B,35.31
AGL,"agilon health, inc.",11.67,-1.05,-8.25%,4.46M,2.482M,4.738B,N/A
SVV,"Savers Value Village, Inc.",13.79,-1.24,-8.25%,1.332M,"604,061",2.213B,32.83
